City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
67,Cherskiy,RU,68.75,161.3,29.46,69,100,8.52,scattered clouds
68,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,40,12.66,scattered clouds
69,Severo-Kurilsk,RU,50.6789,156.125,53.46,72,99,19.08,scattered clouds
70,Okha,RU,53.5739,142.9478,39.34,91,100,12.57,scattered clouds
71,Ambon,ID,-3.6954,128.1814,87.94,70,40,8.05,scattered clouds
72,Mut,TR,36.6439,33.4389,67.03,76,1,1.9,scattered clouds
73,Hithadhoo,MV,-0.6,73.0833,82.35,69,93,16.08,scattered clouds
74,Dehloran,IR,32.6941,47.2679,86.77,14,0,5.57,scattered clouds
75,Sanghar,PK,26.0466,68.9481,86.4,50,1,8.55,scattered clouds
76,Atuona,PF,-9.8,-139.0333,77.04,73,44,19.66,scattered clouds
77,Chuy,UY,-33.6971,-53.4616,54.72,62,93,7.99,scattered clouds
78,Porto Seguro,BR,-16.4497,-39.0647,73.92,94,0,4.61,scattered clouds
79,San Quintin,MX,30.4833,-115.95,68.18,85,80,11.68,scattered clouds
80,Bengkulu,ID,-3.8004,102.2655,82.35,72,100,6.51,scattered clouds
81,Ambilobe,MG,-13.2,49.05,73.33,58,39,3.18,scattered clouds
82,Imeni Poliny Osipenko,RU,52.4201,136.4853,40.66,38,71,15.39,scattered clouds
83,Charcas,MX,23.1333,-101.1167,59.18,45,100,7.87,scattered clouds
84,Dillenburg,DE,50.7333,8.2833,46.4,93,95,1.12,scattered clouds
85,New Norfolk,AU,-42.7826,147.0587,54.91,62,93,1.99,scattered clouds
86,Hilo,US,19.7297,-155.09,80.28,91,100,4.61,scattered clouds
87,Katobu,ID,-4.9408,122.5276,87.87,59,82,2.71,scattered clouds
88,San Pedro,PH,14.35,121.0167,88.83,65,40,6.91,scattered clouds
89,Sinnamary,GF,5.3833,-52.95,77.07,89,92,7.94,scattered clouds
90,Amli,IN,20.2833,73.0167,80.49,80,100,2.17,scattered clouds
91,Xinglongshan,CN,43.9561,125.4661,45.21,28,0,14.27,scattered clouds
92,Rimbey,CA,52.6334,-114.2353,56.23,65,17,7.02,scattered clouds
93,Mamakan,RU,57.8161,114.0028,33.49,72,100,2.33,scattered clouds
94,Ponta Do Sol,PT,32.6667,-17.1,70.0,64,42,3.04,scattered clouds
95,Ilulissat,GL,69.2167,-51.1,32.02,69,100,10.36,scattered clouds
96,Bamiantong,CN,44.9333,130.5333,44.78,36,76,19.37,scattered clouds
97,Havre-Saint-Pierre,CA,50.2334,-63.5986,47.41,79,7,17.16,scattered clouds
98,Longyearbyen,SJ,78.2186,15.6401,36.82,92,100,3.76,scattered clouds
99,Frontera,MX,26.9333,-101.45,71.33,69,100,1.01,scattered clouds
100,Flin Flon,CA,54.7682,-101.865,45.81,59,37,2.42,scattered clouds
101,Berlevag,NO,70.8578,29.0864,39.15,87,100,3.44,scattered clouds
102,Sturgeon Bay,US,44.8342,-87.377,53.58,76,0,4.61,scattered clouds
103,Mogadishu,SO,2.0371,45.3438,77.38,82,50,12.39,scattered clouds
104,Lubumbashi,CD,-11.6609,27.4794,60.28,45,7,3.38,scattered clouds
105,Jalu,LY,29.0331,21.5482,68.67,73,0,8.48,scattered clouds
106,Lebu,CL,-37.6167,-73.65,51.28,95,97,10.76,scattered clouds
107,Andenes,NO,69.3143,16.1194,43.93,93,40,9.22,scattered clouds
108,Chifeng,CN,42.2683,118.9636,44.29,22,0,17.94,scattered clouds
109,Porto Novo,BJ,6.4965,2.6036,75.11,93,69,4.36,scattered clouds
110,Airai,TL,-8.9266,125.4092,74.5,63,91,1.3,scattered clouds
111,Luanda,AO,-8.8368,13.2343,71.6,88,40,3.44,scattered clouds
112,Husavik,IS,66.0449,-17.3389,43.97,91,96,6.55,scattered clouds
113,Deputatskiy,RU,69.3,139.9,14.56,93,49,2.84,scattered clouds
