City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Avera,US,2022-10-01 04:46:10,33.194,-82.5271,62.65,92,99,3.67
60,Omboue,GA,2022-10-01 04:46:10,-1.5746,9.2618,74.89,91,100,5.75
61,Millinocket,US,2022-10-01 04:45:34,45.6573,-68.7098,46.51,93,0,0.0
62,Lokoja,NG,2022-10-01 04:46:11,7.8024,6.743,72.52,98,93,2.62
63,Lebu,CL,2022-10-01 04:46:12,-37.6167,-73.65,50.7,94,100,12.95
64,Paamiut,GL,2022-10-01 04:46:12,61.994,-49.6678,36.46,98,100,12.84
65,Nanortalik,GL,2022-10-01 04:46:12,60.1432,-45.2371,41.14,95,100,8.05
66,Rio Gallegos,AR,2022-10-01 04:46:13,-51.6226,-69.2181,46.45,39,100,18.41
67,Aklavik,CA,2022-10-01 04:42:23,68.2191,-135.0107,32.63,100,100,4.29
68,Hithadhoo,MV,2022-10-01 04:46:13,-0.6,73.0833,81.41,74,91,10.98
69,Victoria,HK,2022-10-01 04:45:07,22.2855,114.1577,91.18,77,33,11.99
70,Mafinga,TZ,2022-10-01 04:46:14,-7.25,35.0667,70.57,53,8,6.2
71,Cape Town,ZA,2022-10-01 04:41:54,-33.9258,18.4232,60.39,79,0,5.99
72,Punta Arenas,CL,2022-10-01 04:42:20,-53.15,-70.9167,44.71,65,40,25.32
73,Harij,IN,2022-10-01 04:46:15,23.7,71.9,87.75,49,0,10.16
74,Salta,AR,2022-10-01 04:42:46,-24.7859,-65.4117,53.58,72,0,4.61
75,Chuy,UY,2022-10-01 04:46:16,-33.6971,-53.4616,54.46,95,100,4.72
76,Mataura,NZ,2022-10-01 04:46:17,-46.1927,168.8643,51.48,46,0,5.68
77,Barrow,US,2022-10-01 04:45:18,71.2906,-156.7887,30.22,80,100,10.36
78,Tasiilaq,GL,2022-10-01 04:46:17,65.6145,-37.6368,42.96,81,100,6.62
79,Kapaa,US,2022-10-01 04:46:18,22.0752,-159.319,82.38,80,75,9.22
80,Trairi,BR,2022-10-01 04:46:18,-3.2778,-39.2689,77.59,81,88,12.5
81,Kenai,US,2022-10-01 04:46:19,60.5544,-151.2583,44.69,93,0,4.61
82,Hobart,AU,2022-10-01 04:46:19,-42.8794,147.3294,60.26,53,40,8.05
83,Guiglo,CI,2022-10-01 04:46:20,6.5456,-7.4966,70.72,99,93,3.83
84,Derzhavinsk,KZ,2022-10-01 04:46:20,51.1,66.3167,36.86,38,0,12.57
85,Broome,US,2022-10-01 04:46:21,42.2506,-75.833,50.02,82,0,6.91
86,Coahuayana,MX,2022-10-01 04:46:21,18.7333,-103.6833,76.95,92,83,2.91
87,Bantogon,PH,2022-10-01 04:46:21,6.5333,124.0333,83.44,75,79,3.78
88,Nikolskoye,RU,2022-10-01 04:46:22,59.7035,30.7861,42.69,97,43,4.47
89,Soyo,AO,2022-10-01 04:46:22,-6.1349,12.3689,74.34,93,100,8.81
90,Laguna,US,2022-10-01 04:46:23,38.421,-121.4238,76.08,52,0,5.75
91,Tongchuan,CN,2022-10-01 04:46:23,35.0806,109.0897,63.84,97,100,5.08
92,Mareeba,AU,2022-10-01 04:46:24,-17.0,145.4333,85.44,54,42,11.63
93,Coquimbo,CL,2022-10-01 04:43:16,-29.9533,-71.3436,55.13,94,100,5.75
94,Oeiras,BR,2022-10-01 04:47:24,-7.0253,-42.1311,75.83,38,92,6.26
95,Carnarvon,AU,2022-10-01 04:47:25,-24.8667,113.6333,74.01,56,0,21.65
96,Bathsheba,BB,2022-10-01 04:47:25,13.2167,-59.5167,83.01,83,75,17.27
97,Qaqortoq,GL,2022-10-01 04:47:26,60.7167,-46.0333,38.5,95,100,6.6
98,Luderitz,NA,2022-10-01 04:47:26,-26.6481,15.1594,56.28,63,14,12.95
99,Ponta Do Sol,PT,2022-10-01 04:47:27,32.6667,-17.1,70.72,76,82,8.23
100,Nabannagan,PH,2022-10-01 04:47:27,18.0715,121.5338,90.7,57,10,4.85
101,Cornwall,CA,2022-10-01 04:47:27,45.0181,-74.7281,47.84,93,0,0.0
102,Puerto Rondon,CO,2022-10-01 04:47:28,6.2805,-71.1,73.4,95,100,5.28
103,Kaoma,ZM,2022-10-01 04:47:28,-14.7833,24.8,67.57,33,42,5.14
104,Bluff,NZ,2022-10-01 04:47:29,-46.6,168.3333,51.8,60,3,7.34
105,Ancud,CL,2022-10-01 04:47:29,-41.8697,-73.8203,42.87,91,20,5.7
106,Khatanga,RU,2022-10-01 04:47:29,71.9667,102.5,31.14,96,100,14.12
107,Arraial Do Cabo,BR,2022-10-01 04:47:30,-22.9661,-42.0278,67.28,78,100,19.22
108,Skibbereen,IE,2022-10-01 04:47:30,51.55,-9.2667,56.7,79,64,17.85
109,Rawson,AR,2022-10-01 04:47:30,-43.3002,-65.1023,54.01,63,21,6.78
110,Karasjok,NO,2022-10-01 04:47:31,69.4719,25.5112,31.87,81,56,2.73
111,Namibe,AO,2022-10-01 04:47:31,-15.1961,12.1522,67.23,88,23,3.53
112,Hovd,MN,2022-10-01 04:47:32,48.0056,91.6419,30.15,29,6,7.83
113,Phan Thiet,VN,2022-10-01 04:47:32,10.9333,108.1,88.18,59,100,6.04
114,Aykhal,RU,2022-10-01 04:47:32,66.0,111.5,21.76,85,93,4.99
115,New Norfolk,AU,2022-10-01 04:47:33,-42.7826,147.0587,59.92,46,4,1.01
116,Elko,US,2022-10-01 04:44:01,41.0002,-115.5012,53.62,53,53,11.99
117,Talnakh,RU,2022-10-01 04:47:34,69.4865,88.3972,29.21,90,100,6.85
118,Dubti,ET,2022-10-01 04:47:34,11.7361,41.0853,89.85,36,17,3.04
119,Butaritari,KI,2022-10-01 04:47:34,3.0707,172.7902,82.26,76,94,14.23
120,Bengkulu,ID,2022-10-01 04:47:35,-3.8004,102.2655,81.88,79,77,7.81
