City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Gariaband,IN,81.52,scattered clouds,20.635,82.0614,हंसराज ट्रैक्टर
480,Batticaloa,LK,84.7,scattered clouds,7.7102,81.6924,Grand Star Guest House
484,Alice Springs,AU,88.21,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
488,Padang,ID,82.45,scattered clouds,-0.9492,100.3543,Mercure Padang
491,Boyolangu,ID,82.09,scattered clouds,-8.1181,111.8935,Yos ega cv
494,Nobres,BR,76.98,scattered clouds,-14.7203,-56.3275,Hotel Portal Nobres
497,Rodrigues Alves,BR,75.4,scattered clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
502,Kulim,MY,85.55,scattered clouds,5.365,100.5618,Tune Hotel - Kulim
506,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
510,Port-Gentil,GA,77.18,scattered clouds,-0.7193,8.7815,Fengshui Residence
512,Pringsewu,ID,84.09,scattered clouds,-5.3582,104.9744,Urban Style by Front One
513,Karratha,AU,83.43,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
515,Porbandar,IN,84.18,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
516,Casambalangan,PH,86.14,scattered clouds,18.3765,122.1274,Villa Saturnina
518,Dingle,PH,86.67,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
519,Quang Ngai,VN,85.15,scattered clouds,15.1167,108.8,Central Hotel
524,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
526,Dafeng,CN,89.64,scattered clouds,23.4517,108.5881,Shenglong Hotel
527,Banda Aceh,ID,82.71,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
543,Alamos,MX,75.45,scattered clouds,27.0167,-108.9333,Luz del Sol
546,Abu Kamal,SY,79.27,scattered clouds,34.4506,40.9171,البوكمال
551,Kesinga,IN,78.73,scattered clouds,20.2,83.2333,Hotel Jayashree
555,Bilma,NE,82.53,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
556,Jibuti,DJ,79.57,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
559,Khorramshahr,IR,76.96,scattered clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
561,Jaisalmer,IN,85.15,scattered clouds,26.9147,70.9181,Hotel Fifu
562,Tura,IN,78.33,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
563,Kushima,JP,82.44,scattered clouds,31.4583,131.2333,Hanaoka
566,Kulhudhuffushi,MV,81.46,scattered clouds,6.6221,73.07,Haajy Guest House 1
568,Acarau,BR,77.34,scattered clouds,-2.8856,-40.12,castelo pizzaria
569,Gizo,SB,84.52,scattered clouds,-8.103,156.8419,Imagination Island
570,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
572,Tehri,IN,79.99,scattered clouds,30.3833,78.4833,The Reindeer Resort Kanatal
574,Aloleng,PH,86.13,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
579,Kokopo,PG,87.13,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
583,Puerto Leguizamo,CO,75.7,scattered clouds,-0.1934,-74.7819,la casona de juancho
585,Sao Gabriel Da Cachoeira,BR,75.24,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
590,Labuhan,ID,86.83,scattered clouds,-6.8844,112.2051,DoubleFAG
599,Juruti,BR,75.29,scattered clouds,-2.1522,-56.0922,Pousada Marupiara
601,Bhinga,IN,84.34,scattered clouds,27.7167,81.9333,ANAND MISHTAN BHANDAR AND COFFEE TEA SETAL
603,Sweetwater,US,80.01,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
607,Naze,JP,83.32,scattered clouds,28.3667,129.4833,Shishime Hotel
610,Jambi,ID,89.92,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
621,Bowen,AU,76.39,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
622,Kieta,PG,83.55,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
630,Betul,IN,76.82,scattered clouds,21.9153,77.8961,STARiHotel Betul MP
635,Ugoofaaru,MV,79.9,scattered clouds,5.6667,73.0,Ungoofaaru Inn
637,Bajos De Haina,DO,81.32,scattered clouds,18.4154,-70.0332,Familia García Santana
642,Nara,JP,87.96,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
646,Tabas,IR,81.73,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
657,Lindsay,US,75.0,scattered clouds,36.203,-119.0882,Lindsay Inn
659,Monrovia,LR,75.29,scattered clouds,6.3005,-10.7969,Sunset Inn
660,Sakaiminato,JP,85.93,scattered clouds,35.55,133.2333,Italian pasley
664,Paka,MY,87.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
666,Progreso,MX,78.91,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
670,Ambulu,ID,81.99,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
671,Bat Khela,PK,76.69,scattered clouds,34.6167,71.9714,Electric and pipe fitting and wall final and ceiling
